,Cabin,Ticket,number,Survived,numerical_data,categorical_data,numerical_cabin,categorical_cabin
853,D28,PC 17592,1,1,1.0,unavailable,28.0,D
854,unavailable,244252,2,0,2.0,unavailable,unavailable,unavailable
855,unavailable,392091,2,1,2.0,unavailable,unavailable,unavailable
856,unavailable,36928,6,1,6.0,unavailable,unavailable,unavailable
857,E17,113055,A,1,3.5,A,17.0,E
858,unavailable,2666,6,1,6.0,unavailable,unavailable,unavailable
859,unavailable,2629,2,0,2.0,unavailable,unavailable,unavailable
860,unavailable,350026,5,0,5.0,unavailable,unavailable,unavailable
861,unavailable,28134,2,0,2.0,unavailable,unavailable,unavailable
862,D17,17466,4,1,4.0,unavailable,17.0,D
863,unavailable,CA. 2343,3,0,3.0,unavailable,unavailable,unavailable
864,unavailable,233866,4,0,4.0,unavailable,unavailable,unavailable
865,unavailable,236852,5,1,5.0,unavailable,unavailable,unavailable
866,unavailable,SC/PARIS 2149,2,1,2.0,unavailable,unavailable,unavailable
867,A24,PC 17590,A,0,3.5,A,24.0,A
868,unavailable,345777,A,0,3.5,A,unavailable,unavailable
869,unavailable,347742,4,1,4.0,unavailable,unavailable,unavailable
870,unavailable,349248,4,0,4.0,unavailable,unavailable,unavailable
871,D35,11751,1,1,1.0,unavailable,35.0,D
872,B51 B53 B55,695,6,0,6.0,unavailable,51.0,B
873,unavailable,345765,6,0,6.0,unavailable,unavailable,unavailable
874,unavailable,P/PP 3381,4,1,4.0,unavailable,unavailable,unavailable
875,unavailable,2667,A,1,3.5,A,unavailable,unavailable
876,unavailable,7534,A,0,3.5,A,unavailable,unavailable
877,unavailable,349212,5,0,5.0,unavailable,unavailable,unavailable
878,unavailable,349217,6,0,6.0,unavailable,unavailable,unavailable
879,C50,11767,A,1,3.5,A,50.0,C
880,unavailable,230433,4,1,4.0,unavailable,unavailable,unavailable
881,unavailable,349257,A,0,3.5,A,unavailable,unavailable
882,unavailable,7552,5,0,5.0,unavailable,unavailable,unavailable
883,unavailable,C.A./SOTON 34068,1,0,1.0,unavailable,unavailable,unavailable
884,unavailable,SOTON/OQ 392076,5,0,5.0,unavailable,unavailable,unavailable
885,unavailable,382652,5,0,5.0,unavailable,unavailable,unavailable
886,unavailable,211536,3,0,3.0,unavailable,unavailable,unavailable
887,B42,112053,3,1,3.0,unavailable,42.0,B
888,unavailable,W./C. 6607,1,0,1.0,unavailable,unavailable,unavailable
889,C148,111369,2,1,2.0,unavailable,148.0,C
890,unavailable,370376,3,0,3.0,unavailable,unavailable,unavailable
